PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40069163,Correction: Exosome-mediated delivery of miR-9 induces cancer-associated fibroblast-like properties in human breast fibroblasts.,2025-03-11,"Romero-Cordoba, S",INMGEN,
40069106,"Update on preclinical models of cancer therapy-related cardiac dysfunction: Challenges and perspectives. A scientific statement of the Heart Failure Association (HFA) of the ESC, the ESC Council of Cardio-Oncology, and the ESC Working Group on Cellular Biology of the Heart.",2025-03-11,"Pollesello, Piero; Streckfuss-Bömeke, Katrin",Comprehensive Heart Failure Center Würzburg; Content and,
40068595,Low-dose irradiation of the gut improves the efficacy of PD-L1 blockade in metastatic cancer patients.,2025-03-10,"Di Cataldo, Vanessa",Radiation Oncology Unit,
40068594,"Sex hormones, the anticancer immune response, and therapeutic opportunities.",2025-03-10,"Catania, Chiara; Cocorocchio, Emilia; Laszlo, Daniele; Ceresoli, Giovanni; Locatelli, Marzia; Facella, Flaminia; De Pas, Tommaso; Giaccone, Giuseppe",Weill; Division of Medical Oncology,
40067759,Unraveling the power of NAP-CNB's machine learning-enhanced tumor neoantigen prediction.,2025-03-11,"Mendez-Perez, Almudena; Acosta-Moreno, Andres M; Wert-Carvajal, Carlos; Ballesteros-Cuartero, Pilar; Sánchez-García, Ruben; Macias, Jose R; Oscar Sorzano, Carlos; Veiga, Esteban",Centro Nacional de Biotecnología,
40066322,Biomimetic Self-Oxygenated Immunoliposome for Cancer-Targeted Photodynamic Immunotherapy.,2025-01-01,"Tang, Yucheng; Tang, Tiantian; Li, Yongjiang; Wu, Junyong; Liu, Xinyi; Xiang, Daxiong; Hu, Xiongbin",Hunan Provincial Engineering Research Center of Translational Medicine and Innovative Drug,
40066089,Association between human leukocyte antigen E expression and outcomes in solid tumors: a systematic review and meta-analysis.,2025-01-01,"Bartolome Arcilla, Jorge; Ocaña, Alberto",Experimental Therapeutics in Cancer Unit,
40065365,Prognostic implications and characterization of tumor-associated tertiary lymphoid structures genes in pancreatic cancer.,2025-03-10,"Tian, Xiaodong",Present address: No. 8 Xishiku Street,
40065170,LILRB3 genetic variation is associated with kidney transplant failure in African American recipients.,2025-03-10,"Connolly, Patti",VericiDx,
40064918,Interleukin-16 enhances anti-tumor immune responses by establishing a Th1 cell-macrophage crosstalk through reprogramming glutamine metabolism in mice.,2025-03-10,"Pan, Ting; Qingqing, Wang; Xiao, Peng",The Key Laboratory for Immunity and Inflammatory Diseases of Zhejiang Province,
40064915,Comprehensive immunophenotyping reveals distinct tumor microenvironment alterations in anti-PD-1 sensitive and resistant syngeneic mouse model.,2025-03-10,"Hamasaki, Takayuki; Inoue, Kazuhiko; Minomo, Hirofumi; Nagata, Ichiro; Horai, Naoto",Drug Safety Research Laboratories,
40064880,"Tebentafusp, a T cell engager, promotes macrophage reprogramming and in combination with IL-2 overcomes macrophage immunosuppression in cancer.",2025-03-10,"Güç, Esra; Treveil, Agatha; Leach, Emma; Broomfield, Anna; Camera, Antonio; Clubley, James; Nieto Garcia, Paula; Kazachenka, Anastasiya; Khanolkar, Rahul; Stanhope, Sarah; Collins, Laura; Ranade, Koustubh; Benlahrech, Adel",Immunocore; Centro Nacional de Análisis Genómico (CNAG),
40064574,Racial Diversity and Co-Mutational Analysis of Biologically Relevant Alterations in EGFR Mutant Lung Cancers.,2025-02-14,"Teslow, Emily; Jaeger, Ellen; Stoppler, Melissa C; Chao, Calvin",Tempus AI,
40063511,A Nonviral Approach to Generate Transient Chimeric Antigen Receptor T Cells Using mRNA for Cancer Immunotherapy.,2025-02-21,"Hu, Liang; Berahovich, Robert; Huang, Yanwei; Zhang, Shiming; Sun, Jinying; Liu, Xianghong; Zhou, Hua; Xu, Shirley; Li, Haoqi; Golubovskaya, Vita; Wu, Lijun",ProMab Biotechnologies.; ProMab Biotechnologies; john@promab.com.; ProMab Biotechnologies; vita.gol@promab.com.,
40063100,Preclinical investigation of anti-tumor efficacy of allogeneic natural killer cells combined with cetuximab for head and neck squamous cell carcinoma.,2025-03-10,"Gil, Minchan; Rhee, Yong-Hee",NKMAX,
40062995,Transient inhibition of type I interferon enhances CD8+ T cell stemness and vaccine protection.,2025-05-05,"Moon, Woohyun J",Acuitas Therapeutics,
40061943,Corrigendum: Anti-Mesothelin CAR-NK cells as a novel targeted therapy against cervical cancer.,2025-01-01,"Neubert, Lavinia; Kamp, Jan C",Biomedical Research in Endstage and Obstructive Lung Disease Hannover (BREATH),
40061940,Clinical evidence of immunogenicity of CAR-T cell therapies and its implication in the clinical development of CAR-T drug products.,2025-01-01,"Lachacz, Eric",Integrated Bioanalysis,
40060891,Unveiling circulating targets in pancreatic cancer: Insights from proteogenomic evidence and clinical cohorts.,2025-03-21,"Yang, Fei",Anhui Province Key Laboratory of Tumor Immune Microenvironment and Immunotherapy,
40059815,Clinical evaluation of HuDo-CSPG4 DNA electroporation as adjuvant treatment for canine oral malignant melanoma: comparison of two vaccination protocols.,2025-12-01,"Camerino, Mariateresa",AniCura Animal Oncology and Imaging Center,
40058956,A screening system to determine the effect of bacterial metabolites on MAdCAM-1 expression by transformed endothelial sinusoidal cells.,2025-01-01,"Fidelle, Marine",Gustave Roussy,
40057889,Efficient large-scale expansion of cord blood-derived NK cells: leveraging lipopolysaccharide for enhanced NK cell production.,2025-02-24,"Somredngan, Sirilak; Kunkanjanawan, Tanut; Khemarangsan, Veerapol",Medeze Group Public Company,
40057567,Establishing a GMP-compliant manufacturing process and phase-appropriate analytics for early development of a FiCAR T-cell product with a novel CAR spacer.,2025-03-08,"Ahoniemi, Jonna; Lähteenmäki, Kaarina; Lehtisalo, Jenni; Oja, Terhi; Paavilainen, Henrik; Autio, Anu; Nyman, Marie; Nikoskelainen, Veera; Kergourlay, Virginie; Elbasani, Endrit; van Veen, Bert; Thotakura, Anil",Orion; Quality Management,
40057520,Longitudinal single cell profiling of epitope specific memory CD4+ T cell responses to recombinant zoster vaccine.,2025-03-08,"Wen, Xiaomin",AstraZeneca Pharmaceuticals,
40056167,Combination therapy with expanded natural killer cells and atezolizumab exerts potent antitumor immunity in small cell lung cancer.,2025-03-08,"Vo, Manh-Cuong; Bae, Woo Kyun; Lee, Je-Jung",VaxCell-Biotherapeutics,
40055826,DAGIP: alleviating cell-free DNA sequencing biases with optimal transport.,2025-03-07,"Passemiers, Antoine",Dynamical Systems,
40055810,Low-coverage whole genome sequencing of cell-free DNA to predict and track immunotherapy response in advanced non-small cell lung cancer.,2025-03-08,"Stenzinger, Albrecht; Sültmann, Holger",German Cancer,
40054999,Society for Immunotherapy of Cancer (SITC) consensus statement on essential biomarkers for immunotherapy clinical protocols.,2025-03-07,"Ali, Alaa; Mullin, Sarah; Diaz-Padilla, Ivan; Grandi, Paola; Takimoto, Chris H",Adze Biotech; GSK Oncology Research Unit; IGM Biosciences; Georgetown Lombardi; Roswell Park,
40054466,Lymph node macrophages drive immune tolerance and resistance to cancer therapy by induction of the immune-regulatory cytokine IL-33.,2025-03-05,"Mishra, Shreya; Mak, Tak W",Princess Margaret Cancer Centre,
40054461,"Phase 1 study of IMCnyeso, a T cell receptor bispecific ImmTAC targeting NY-ESO-1-expressing malignancies.",2025-02-27,"Edukulla, Ramakrishna; Wustner, Jason",Translational Medicine; Biometrics,
40053692,Radiation Dose-Volume Effects on Negative Tumor-Draining Lymph Nodes Impacted T-Cell Activation and Prognosis in Esophageal Cancer with Chemoradiotherapy.,2025-03-07,"Xu, Yang; Fan, Qingsong",Changhai; Enhance Human Health Through Pharma Technology Innovation,
40053049,Intravenous immunoglobulin therapy in erythromelalgia management: a case report.,2025-01-01,"Vasconcelos, Luydson Richardson Silva; Sá, Marcus Villander Barros de Oliveira",Instituto Aggeu Magalhães,
40052963,"The cGAS-STING pathway in cancer immunity: dual roles, therapeutic strategies, and clinical challenges.",2025-03-07,"Huang, Jing",Hubei Province Key Laboratory of Precision Radiation Oncology,
40052634,Statin Drugs Are Associated With Response to Immune Checkpoint Blockade in Recurrent/Metastatic Head and Neck Cancer.,2025-03-01,"Abousaud, Marin",Astellas Pharma Global Development,
40052491,Advancing Allogeneic NK Cell Immunotherapy through Microfluidic Gene Delivery.,2025-03-07,"Chung, Aram J",MxT Biotech,
40052124,Real-world treatment and retreatment patterns and outcomes in patients with advanced or metastatic non-small cell lung cancer following nivolumab monotherapy in second line or later in France: an I-O Optimise analysis.,2025-01-01,"Penrod, John R",Worldwide HEOR,
40051497,Sophisticated roles of tumor microenvironment in resistance to immune checkpoint blockade therapy in hepatocellular carcinoma.,2025-01-01,"Zhang, Yi-Zhe; Ma, Yunshu",Authors contributed equally.,
40051494,Exploring YAP1-related TIME in SCLC: implications for survival and treatment response to immuno-chemotherapy.,2025-01-01,"Chen, Yu-Qing; Tan, Jia-Xiong; Gao, Ling-Ling",Authors contributed equally.,
40050985,Injectable celastrol-loading emulsion hydrogel for immunotherapy of low-immunogenic cancer.,2025-03-06,"Dai, Xiaomeng",Hubei Key Laboratory of Precision Radiation Oncology,
40050933,Harnessing myeloid cells in cancer.,2025-03-06,"Pylaeva, Ekaterina; Jablonska, Jadwiga",German Cancer,
40050894,Oxygen-delivery nanoparticles enhanced immunotherapy efficacy monitored by granzyme B PET imaging in malignant tumors.,2025-03-07,"Wang, Xingyi; Fang, Hanyi; Hu, Wenzhu; Feng, Yuan; Zhou, Zhangyongxue; Hu, Mengyan; Jiang, Dawei; Zhang, Yongxue; Lan, Xiaoli",Hubei Province Key Laboratory of Molecular Imaging,
40050802,Engineered multifunctional nanoparticles for enhanced radiation therapy: three-in-one approach for cancer treatment.,2025-03-06,"Toyang, Ngeh; Lowe, Henry",Flavocure Biotech,
40050281,Author Correction: Unveiling conserved HIV-1 open reading frames encoding T cell antigens using ribosome profiling.,2025-03-06,"Labaronne, Emmanuel; Gouttefangeas, Cécile; Rammensee, Hans-Georg; Walz, Juliane",ADLIN Science; German Cancer,
40050044,"Comment on 'Pembrolizumab hybrid dosing is non-inferior to flat dosing in advanced non-small cell lung cancer: a real-world, retrospective bicenter cohort study'.",2025-03-06,"Zhu, Xudong",Liaoning Provincial Key Laboratory of Precision Medicine for Malignant Tumors,
40049206,Proceedings of the National Cancer Institute Workshop on combining immunotherapy with radiotherapy: challenges and opportunities for clinical translation.,2025-03-01,"Smart, DeeDee",Radiation Oncology Branch,
40048691,"Randomized, Open-Label, Phase III Study of Tilsotolimod in Combination With Ipilimumab Versus Ipilimumab Alone in Patients With Advanced Refractory Melanoma (ILLUMINATE-301).",2025-03-06,"Ascierto, Paolo A; Chunduru, Srinivas; Rahimian, Shahram; Guidoboni, Massimo","Melanoma Cancer Immunotherapy and Development Therapeutics Unit Istituto Nazionale Tumori IRCCS Fondazione ""G. Pascale; Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori; Idera Pharmaceuticals",
40048089,Mapping immune checkpoint inhibitor side effects to item libraries for use in real-time side effect monitoring systems.,2025-03-06,"Best, Stephanie",Victorian,
40048009,Polycomb repressive complex 2 (PRC2) pathway's role in cancer cell plasticity and drug resistance.,2025-03-06,"Goleij, Pouya",Immunology Board for Transplantation and Cell-Based Therapeutics (Immunotact),
40046652,Drug Repurposing in Pancreatic Cancer: A Multi-Stakeholder Perspective to Improve Treatment Options for Pancreatic Cancer Patients.,2025-01-01,"Hewitt, Evelyn; van der Meer, Helene G; Rooman, Ilse",Beacon: for Rare Disease; ZonMw; Translational Oncology Research Center (TORC),
40046055,"Neural regulation of the thymus: past, current, and future perspectives.",2025-01-01,"Lagou, Maria K; Karagiannis, George S; Maryanovich, Maria",Montefiore-Einstein,
40046051,AWT020: a novel fusion protein harnessing PD-1 blockade and selective IL-2 Cis-activation for enhanced anti-tumor immunity and diminished toxicity.,2025-01-01,"Ye, Fan; Huang, Jianing; Cheng, Xiaoli; Chen, Shih Chieh; Huang, Fang; Huang, Wen-Chin; Hua, Botong; Li, Ella; Jiang, Jenny; Lin, Hanna; Siegel, Matthew; Liao, Eric; Wang, Ji; Yue, Bella; Shi, Wenli; Xu, Yanghua; Wang, Xin; Wang, Jiaming; Yan, Yuyuan; He, Honglin; Liu, Eugene; Lu, Binfeng; Zhong, Ziyang",Anwita Biosciences; Center for Discovery and Innovation,
40045578,Clinical Applications of Oligonucleotides for Cancer Therapy.,2025-03-05,"Amabile, Giovanni",AptaDiR Therapeutics,
40044930,Pembrolizumab plus chemotherapy in advanced or recurrent endometrial cancer: overall survival and exploratory analyses of the NRG GY018 phase 3 randomized trial.,2025-03-05,"Hope, Joanie M; Cantuaria, Guilherme H; Baghdadi, Tareq Al",Pacific Cancer Research; Georgia NCORP; Michigan Cancer Research,
40044906,Surface display of two neoantigens on Lactiplantibacillus plantarum.,2025-03-05,"Svensson, Samuel; Grönlund, Hans",NEOGAP Therapeutics AB,
40043281,Melanoma neoadjuvant treatment: review and update of recent trials.,2025-03-05,"Ferrari, Marco; Facchini, Bianca Arianna; Ascierto, Paolo Antonio; Sparano, Francesca",Azienda USL Toscana centro; Istituto Nazionale Tumori IRCCS Fondazione Giovanni Pascale - Melanoma,
40042547,"First-in-human, phase 1 dose escalation study of SL-279252, a hexameric PD1-Fc-OX40L fusion protein, in patients with advanced solid tumors and lymphoma.",2025-03-05,"Rangwala, Fatima; Ma, Bo; Hernandez, Robert; Kamat, Asha; Kato, Kazunobu; Schreiber, Taylor H; Pandite, Lini; Siu, Lillian L",Shattuck Labs; Princess Margaret Cancer Center,
40042109,"Melanoma Cell Adhesion Molecule Plays a Pivotal Role in Proliferation, Migration, Tumor Immune Microenvironment, and Immunotherapy in Colorectal Cancer.",2025-03-01,"Lai, Jun",The Infirmary of Hangzhou Power Supply,
40042035,Mitigating Cellular Dysfunction Through Contaminant Reduction in Synthetic circRNA for High-Efficiency mRNA-Based Cell Reprogramming.,2025-03-05,"Wang, Daming",BiosynRNA Biotechnology,
40040956,Biomimetic Atorvastatin Self-Assembled Nanomedicine Inhibits the Cyclooxygenase-2/Prostaglandin E2 Pathway Enhanced Photothermal and Antitumor Immunity.,2025-01-01,"Zhou, Min; Han, Ruyue; Xu, Wenjie; Hao, Xinyan; Peng, Yanjin; Tang, Yucheng; Sun, Pengcheng; Tang, Tiantian; Wu, Junyong; Xiang, Daxiong",Hunan Provincial Engineering Research Centre of Translational Medicine and Innovative Drug,
40040867,Modulated electro-hyperthermia therapy combined with Korean mistletoe extract treatment exerts a strong anti-tumor activity by enhancing cellular and humoral immune responses in mice.,2025-01-01,"Yoon, Taek Joon",DoGenBio,
40040720,"Identification and functional characterization of m1A-related genes in colorectal cancer: implications for prognosis, immune infiltration, and therapeutic strategies.",2025-01-01,"Li, Fang",Jiangsu Kanion Pharmaceutical,
40040692,High-dose radiation induces dendritic cells maturation by promoting immunogenic cell death in nasopharyngeal carcinoma.,2025-01-01,"Zeng, Xianlin; Leng, Ji; Wang, Yun; Chen, Jin; Zhang, Shichao; Teng, Lijing; Hu, Zuquan; Zeng, Zhu",Engineering Center of Cellular Immunotherapy of Guizhou Province,
40038780,Anti-TGF-β/PD-L1 bispecific antibody synergizes with radiotherapy to enhance antitumor immunity and mitigate radiation-induced pulmonary fibrosis.,2025-03-05,"Zhang, Jing; Zhou, Pengfei",Wuhan YZY Biopharma,
40037029,Impact of Histology on Clinical Outcomes of Pembrolizumab Monotherapy in Patients With Advanced or Metastatic Urothelial Carcinoma in the Phase 3 KEYNOTE-045 and KEYNOTE-361 Trials.,2024-11-15,"Giannatempo, Patrizia; Machiels, Jean-Pascal; Moreno, Blanca Homet; Bavle, Abhishek; Xu, Jin Z",Institut Roi Albert II; Merck & Co.; Genitourinary Medical Oncology,
40036904,Integrated clinico-molecular analysis of gastric cancer in European and Latin American populations: LEGACY project.,2025-03-03,"Ruiz-García, E; Fernández-Figueroa, E A; Valdez-Reyes, N M; León-Takahashi, A; Falcón-Martínez, J C; Farrés, J",Departamento de Tumores de Tubo Digestivo; Núcleo B de Innovación en Medicina de Precisión; Anaxomics Biotech S.L.; Laboratorio de Medicina Traslacional; Departamento de Gastroenterología,
40036771,Real-world characteristics and outcomes of ERBB2-mutant NSCLC in Latin American patients (CLICaP).,2025-02-06,"Saldanha, Erick F; Cordeiro de Lima, Vladmir C; Fares, Aline; Corassa, Marcelo; Gil-Santana, Leonardo; Carioca Freitas, Helano; Rojas, Leonardo; Zuluaga, Jairo; Cardona, Andres F",Thoracic Oncology Unit; British; Division of Thoracic Medical Oncology,
40035876,Development of a T cell engaging bispecific antibody targeting long non-coding RNA PVT1.,2025-03-04,"Maeda, Tatsuo",Research Center of Oncology Group VI,
40034703,Randomized clinical trial in cancer patients shows immune metabolic effects exerted by formulated bioactive phenolic diterpenes with potential clinical benefits.,2025-01-01,"Gómez de Cedrón, Marta; Cruz-Gil, Silvia; Fernández Díaz, Cristina M; Fernández, Lara P; Molina, Susana; Crespo, María Carmen; Ramos Ruíz, Ricardo; Ramírez de Molina, Ana",Molecular Oncology Group,
40034702,Use of a universal targeting CAR T cell to simultaneously kill cancer cells and cancer-associated fibroblasts.,2025-01-01,"Chu, Haiyan",Research & Translational Sciences,
